Filename	Novel	Genre	ID	Author	Title	Length
FB_10036118	FB	CF	10036118	delibell	Amortentia.	15500
FB_10057400	FB	CF	10057400	MerryLilHobbit	Stitch by Stitch	18012
FB_10116890	FB	CF	10116890	Truetomorrow	Five Times Seraphina Incorrectly Guessed Percival's Middle Name, and the One Time He Told Her	5524
FB_10202474	FB	CF	10202474	theescapist99	The Heart Asks Pleasure First	6189
FB_10238768	FB	CF	10238768	kamikaze43v3r	Trinket Troubles	8491
FB_10241984	FB	CF	10241984	MonsieurMadeleine	Fucked Up, Literally	9143
FB_10292615	FB	CF	10292615	MercurialTenacity	Desire Is a Gift in Life	5772
FB_10312310	FB	CF	10312310	vaderina	Birds of a Feather	8845
FB_10327295	FB	CF	10327295	MartyGras	Limerence	17780
FB_10333253	FB	CF	10333253	Nightmare_in_Pink	You for Me, Me for You	5155
FB_10384371	FB	CF	10384371	Whitehorse102	A Burning Sensation	6148
FB_10396884	FB	CF	10396884	KatieHavok	Blood Roses	5401
FB_10421313	FB	CF	10421313	KatieHavok	Brimstone	12354
FB_10437621	FB	CF	10437621	KatieHavok	Medusa and Hemlock	5769
FB_10451001	FB	CF	10451001	ravensnwritingdesks	Making an Effort	19370
FB_10468920	FB	CF	10468920	madswritings	Caught in the crossfire	13899
FB_10475103	FB	CF	10475103	dannissa	Pulling Strings	8565
FB_10488756	FB	CF	10488756	obscure_obscurus	Pictures of You	13263
FB_10494132	FB	CF	10494132	yogurt3200	Wildest Dream	17782
FB_10508073	FB	CF	10508073	JulietteWolfe	The Strange and Obscure	5022
FB_10513821	FB	CF	10513821	MurderIsMyPasstime	A Stir of Bones	6137
FB_10517118	FB	CF	10517118	KatieHavok	In The Space Between Breaths	10655
FB_10520589	FB	CF	10520589	flightinflame	A Tiny Problem	5009
FB_10523772	FB	CF	10523772	LokasennaHiddleston	Tony Stark is Dead... Long Live Tony Riddle	14136
FB_10525821	FB	CF	10525821	Imogen74	Safe	8218
FB_10551398	FB	CF	10551398	KatieHavok	Close Every Door	13755
FB_10555098	FB	CF	10555098	kallistob	Paris Is Considerably More Interesting Than I Expected	15603
